Product Name,Brand Name,Price (Ksh),Discount (%),Total Reviews,Popularity
"Tecno Spark 20, 6.6"", 256GB + 8GB RAM, 50MP Camera, 5000mAh,Gravity Black (1YR WRTY)",product,"KSh 19,299",36%,0,Low
"Tecno Spark 10 5G, 6.6"", 256GB+8GB RAM (8GB RAM Extended), 5000mAh, Meta Blue",product,"KSh 18,899",24%,0,Low
"Tecno Spark 10 Pro, 6.8"", 128GB+8GB,(Dual SIM),5000mAh,Starry Black",product,"KSh 22,499",product,0,Low
"Tecno Pop 7, 6.6"" HD+, 2GB + 64GB, 8MP, 4G (Dual SIM) 5000MAh - Endless Black (1YR WRTY)",product,"KSh 10,599",29%,0,Low
"Tecno Spark 20, Android 13, 6.6"", 128GB + 4GB RAM(4GB Extended), 50MP, 5000mAh, Gravity Black",product,"KSh 15,034",6%,0,Low
"Tecno Spark 20, 6.6"", 256GB + 8GB RAM, 50MP Camera, 5000mAh, Blue (1YR WRTY)",product,"KSh 19,299",36%,0,Low
"Tecno Spark 10 Pro, 6.8"", 128GB+8GB,(Dual SIM),5000mAh,Pearl White",product,"KSh 18,623",17%,0,Low
"Tecno POP 8,6.6"",4GB RAM+128GB ROM, Android 13,Dual Sim, 5000mAh- White (1YR WRTY)",product,"KSh 12,999",28%,0,Low
"Tecno POP 8, 6.6"", 3GB RAM + 64GB, 13MP, 4G,Android 13,5000MAh - Gravity Black (1YR WRTY)",product,"KSh 11,599",28%,0,Low
"Tecno Spark 20 Pro 6.78"" 256GB ROM + 8GB RAM (8GB RAM Extended) 108MP Ultra Sensing Camera 5000mAh Dual Sim-Magic Skin Green",product,"KSh 26,999",product,0,Low
"Tecno Spark 20, 6.6"", 256GB + 8GB RAM (Dual SIM), 5000mAh, Cyber White (1YR WRTY)",product,"KSh 19,299",36%,0,Low
"Tecno Phantom X2, 6.8"", 256GB+ 8GB (Dual SIM), 5160mAh, 5G - Stardust Gray",product,"KSh 57,999",3%,0,Low
Hisense WSQB753W - 7.5Kg Twin Tub Top Load Washing Machine - White (2YRs WRTY),product,"KSh 22,699",16%,0,Low
"Roch RMW-20PX7H-B(B) Microwave Oven, 700W, 20L – Black (1YR WRTY)",product,"KSh 8,999",31%,0,Low
Ramtons RF/257- 2 Door Direct Cool Fridge - 213 Liters - Silver (1YR WRTY),product,"KSh 45,316",7%,0,Low
VON Von 5534 4 Gas Cooker + Gas Oven 55x55 - Brown (1YR WRTY),product,"KSh 20,695",33%,0,Low
AILYONS FK-0306 Stainless Steel 1.8L Electric Kettle-White (1YR WRTY),product,KSh 779,44%,0,Low
Hisense REF094DR - 94 Liters Fridge - Silver (2YRs WRTY),product,"KSh 20,799",10%,0,Low
Hisense Washing Machine Top Loading 8kg (2YRs WRTY),product,"KSh 39,999",24%,0,Low
Hisense Air Conditioner 18000 Btu (2YRs WRTY),product,"KSh 69,499",7%,0,Low
"Nunix 3 In 1 Blender, Grinder & Chopper AK-444..",product,"KSh 2,900",32%,0,Low
Ramtons RM/553 - 21 Litre Tank Wet And Dry Vacuum Cleaner - Black (1YR WRTY),product,"KSh 12,100",15%,0,Low
"AILYONS GS014-5, 2 Burner Glass Top Gas Cooker & Infrared Double Burner (1YR WRTY)",product,"KSh 2,249",32%,0,Low
Hisense Fridge 205 Liters Double Door REF205DR (2YRs WRTY),product,"KSh 45,599",14%,0,Low
Havells Stealth Wood 1200mm Designer Ceiling Fan,product,"KSh 25,000",22%,0,Low
Ramtons EB/303 4 Gas 55x55 Dark Red Cooker,product,"KSh 27,172",7%,0,Low
VON VART-25DMS Double Door Fridge 168L - Dark Silver,product,"KSh 49,995",product,0,Low
NIVEA UV Face Shine Control Cream SPF 50 - 50ml,product,"KSh 1,040",20%,0,Low
Garnier Anti-Blemish Charcoal Serum With AHA+BHA & Niacinamide For Acne Prone Skin,product,"KSh 1,406",24%,0,Low
NIVEA Perfect & Radiant Even Tone Day And Night Cream For Women - 50ml,product,"KSh 1,478",18%,0,Low
Garnier Even & Matte Vitamin  C Booster Serum 30ml.,product,"KSh 1,279",27%,0,Low
L'Oréal professionnel Steampod 3.0 Steam Powered Flat Iron & Hair Straightener,product,"KSh 30,510",10%,0,Low
"Vitamin C Firming Anti Wrinkle,Anti Aging, Anti-Acne,Vitamin C Serum ..",product,KSh 499,44%,0,Low
NIVEA 5 In 1 Complete Care Nourishing Cocoa Body Lotion With Cocoa Butter & Vitamin E – 200ML,product,KSh 288,20%,0,Low
"NIVEA Pearl & Beauty Anti-Perspirant Rollon, 48h - 50ml (Pack Of 2)",product,KSh 651,37%,0,Low
Garnier Vitamin C Booster Serum 30ml Twin Pack,product,"KSh 2,446",30%,0,Low
Garnier Pure Active 3 In1 Charcoal  Anti  Blackhead Mask Wash Scrub -  150ml,product,"KSh 1,057",21%,0,Low
Qasil Naturals Qasil Powder Organic & Multi-purpose Skincare,product,KSh 900,product,0,Low
Garnier Brightening Night Serum With 10% Pure Vitamin C,product,"KSh 2,155",14%,0,Low
Dr. Rashel Vitamin C Essense Toner+Face Serum+Face Cream,product,"KSh 1,188",21%,0,Low
Garnier Even & Matte Vitamin  C Booster Serum 30ml.,product,"KSh 1,279",27%,0,Low
Garnier Anti-Blemish Charcoal Serum With AHA+BHA & Niacinamide For Acne Prone Skin,product,"KSh 1,406",24%,0,Low
Garnier Pure Active 3 In1 Charcoal  Anti  Blackhead Mask Wash Scrub -  150ml,product,"KSh 1,057",21%,0,Low
Garnier Even & Matte Vitamin C Protection Cream SPF30 50ml,product,KSh 914,27%,0,Low
Garnier AHA+BHA Charcoal Serum + Pure Active 3-in-1 Charcoal Mask (Anti Acne Skin Care Kit),product,"KSh 2,090",35%,0,Low
Maybelline New York Superstay Skin Tint Shade  63 With Vitamin C,product,"KSh 1,900",24%,0,Low
Garnier Brightening Night Serum With 10% Pure Vitamin C,product,"KSh 2,155",14%,0,Low
Nice & Lovely Baby Range Value Pack,product,"KSh 2,210",15%,0,Low
Garnier Even & Matte Vitamin C Cleansing Foam,product,KSh 533,35%,0,Low
Garnier Skin Active Pure Charcoal Black Tissue Face Mask,product,KSh 275,21%,0,Low
Garnier Even & Matte Vitamin C  Booster Serum15ml,product,KSh 674,25%,0,Low
Garnier Bye Acne & Dark Spots Skin Care Kit.,product,"KSh 3,303",24%,0,Low
Maybelline Lasting Fix Setting Spray,product,"KSh 1,758",21%,0,Low
Garnier Bright Complete Bundle Pack,product,"KSh 3,102",27%,0,Low
Garnier Vitamin C Booster Serum 30ml Twin Pack,product,"KSh 2,446",30%,0,Low
12 Inches 30 Cm European Style Creative Decorative Round Wooden Wall Clock,product,"KSh 1,280",21%,0,Low
5 By 8 Soft Fluffy Patches Carpets Non-slip Rugs Floor Mat,product,"KSh 2,599",35%,0,Low
Silentnight Throw Pillow And Cover,product,KSh 900,product,0,Low
Go Turkey WERSOFT MATS - Light Brown,product,KSh 965,42%,0,Low
Miniso Aromatic Scent Scent Diffuser 23ML ( Tropical Peach ),product,KSh 309,product,0,Low
Aworky Limited Bathroom Mat  (Shell Shape),product,KSh 480,26%,0,Low
Curtains Grey 2Pcs 1.5M Each + FREE SHEER,product,"KSh 3,799",37%,0,Low
Aworky Limited DOORMAT(PET DESIGN),product,KSh 479 - KSh 809,20%,0,Low
5By8 Soft Chocolate Fluffy Carpets Non-slip Rugs Floor Mat,product,"KSh 2,599",42%,0,Low
Welcome Rubber Doormat Door Mat,product,"KSh 1,300",13%,0,Low
Miniso Aromatic Scent Diffuser,product,KSh 359,product,0,Low
Aworky Limited Toilet Set - Velvet Grey,product,"KSh 1,350",10%,0,Low
Modern Fantasy Butterfly Wall Clock Dial Silent Movement,product,"KSh 1,650",36%,0,Low
Aworky Limited Stripped Door Mat,product,KSh 400,33%,0,Low
Extendable Curtain Rods Double Adjustable + FREE Holders And Screws,product,"KSh 1,699 - KSh 2,599",32%,0,Low
"HP Refurbished Elitebook 820  Core  I5, 8GB RAM 500GB  HDD -12.5"", Black",product,"KSh 18,719",25%,0,Low
HP REFURBISHED PROBOOK 11 G2 CORE I3 8GB 500HDD *TOUCHSCREEN* WINDOWS 10 () (6 Months WRTY),product,"KSh 22,079",26%,0,Low
Lenovo Refurbished Thinkpad 11E Celeron - 4 GB RAM - SSD 128GB 11.6'' - Black (6 Months WRTY),product,"KSh 15,839",19%,0,Low
"HP Refurbished EliteBook 8470p Core I5 - HDD 500GB - 4GB RAM WIFI CAM Silver - 14"" 6 Months WRTY",product,"KSh 15,551",22%,0,Low
HP Elitebook 840 G3 Intel Core i5 6th Gen 8GB RAM 256GB SSD 14 Inches FHD Display Refurbished,product,"KSh 27,299",15%,0,Low
"Lenovo Refurbished ThinkPad Yoga 11e X360 Intel -Touchscreen- 11.6""- 4GB RAM - 500GB - Black (6M WRTY)",product,"KSh 15,455",42%,0,Low
"HP Refurbished EliteBook 8460p, Intel Core I5, 8GB RAM, 256GB SSD, 14'' + FREE MOUSE",product,"KSh 19,200",23%,0,Low
"HP Refurbished EliteBook 8470p - Core I5 - HDD 500GB - 4GB RAM DVDRW CAM Silver - 14""",product,"KSh 15,839",21%,0,Low
"Canon PIXMA G2410-MEGATANK MFP Printer, 1YR WRTY",product,"KSh 23,999",17%,0,Low
"HP Refurbished 8GB RAM, Fast Speed 256GB SSD EliteBook 8460p, Intel Core I5, 14'' Windows 11 PRO Activated, Office & Basic software Installed + FREE MOUSE",product,"KSh 19,199",4%,0,Low
"Lenovo REFURBISHED THINKPAD YOGA 11E 4 GB RAM, 320HDD",product,"KSh 13,439",46%,0,Low
"HP Refurbished EliteBook 820, Intel Core I5,  Slim Model ,8GB RAM , 500HDD,  Black- 12.5""",product,"KSh 18,719",38%,0,Low
Qwen Aluminum Alloy Laptop Stand Computer Stand,product,KSh 605,40%,0,Low
Lenovo Refurbished Thinkpad Intel Core I5 8 GB RAM 500 GB HDD 12.5'' Black (6 Months WRTY),product,"KSh 19,679",48%,0,Low
"HP EliteBook 820 G1 Core I7 8GB RAM 1TB Slim Ultrabook Laptop Refurbished, 6 Months WRTY (6 Months WRTY)",product,"KSh 24,958",38%,0,Low
Fashion Women's V-Neck Short Sleeved Bodycon Floral Dress,product,"KSh 1,090",50%,0,Low
Fashion Ladies 3-Pack Round Neck Heavy Duty 180 GSM T-shirt Navy Blue White Neck/White/White Navy Blue Neck,product,KSh 899 - KSh 990,25%,0,Low
Fashion High Waist Jeans Body Shape Sky Blue,product,"KSh 949 - KSh 1,085",18%,0,Low
Fashion Women Solid Color Off Shoulder Club Party Jumpsuit 2pcs Spring And Fall,product,"KSh 1,149",46%,0,Low
Defacto Woman Core Regular Fit V Neck Knitted Short Sleeve T-Shirt - Black,product,KSh 588,50%,0,Low
Fashion 3PCS Sexy Ladies Cotton Stretch Striped Tight,product,KSh 985,1%,0,Low
"Fashion Sexiest Mock Neck Ribbed Bodycon Dress (Hips 36-44"" Fit)",product,KSh 567,11%,0,Low
Defacto Woman Young Regular Fit Knitted Trousers - Black,product,"KSh 1,148",50%,0,Low
Fashion 4PCs Most Beautiful Printed Seamless Panties(Hips 38-44inches),product,KSh 738,26%,0,Low
Fashion 4PCS Cotton Tummy Control Highwaist Seamless Panties,product,KSh 995,product,0,Low
Defacto Woman Casual Regular Fit Woven Long Sleeve Shirt - Ecru,product,"KSh 1,529",50%,0,Low
Fashion Women Lace Sexy Floral Panties  Ladies Comfortable Underpants Female  Lingerie,product,KSh 899,25%,0,Low
Trendy Fashion New Diamond Set Gold Business Watch For Men,product,KSh 698,50%,0,Low
Fashion Adjustable Canvas Belt No Metal Anti-allergy Belt,product,KSh 279 - KSh 299,30%,0,Low
Fashion Men‘s Watch Men's Casual Quartz Watch，watches For Men,product,KSh 620,40%,0,Low
Fashion Men Stainless Steel Rotatable Chain Ring- Blue,product,KSh 100,33%,0,Low
Fashion Men Fashion Simple Short Wallet Card Holder Geometric Pattern Wallet PU Wallet,product,KSh 279,44%,0,Low
Fashion Ladies Fashion Watched  Plastic Strap Watch Quartz Watches,product,KSh 369,39%,0,Low
Business All-match Watch For Men Waterproof Designer Quartz Fashion Wrist Watch,product,KSh 553,43%,0,Low
